datesold,postcode,price,propertyType,bedrooms,datesold_year,month
2015-10-22,2609,12.206072645530174,house,1,2015,10
2015-10-22,2615,12.714395139078047,house,2,2015,10
2015-10-22,2913,12.89921982609012,house,3,2015,10
2015-10-22,2604,13.036805489042683,house,3,2015,10
2015-10-22,2905,13.071070083016778,house,3,2015,10
2015-10-22,2914,13.104199406776658,house,3,2015,10
2015-10-22,2615,13.235692062711331,house,4,2015,10
2015-10-22,2617,13.265597545490236,house,3,2015,10
2015-10-22,2614,13.321214236149494,house,3,2015,10
2015-10-22,2905,13.399995114002609,house,5,2015,10
2015-10-22,2914,13.67911793305872,house,5,2015,10
2015-10-22,2603,14.291744736960645,house,5,2015,10
2015-10-23,2906,12.706847933442663,house,3,2015,10
2015-10-23,2913,12.829333698625952,house,3,2015,10
2015-10-23,2905,13.017002861746503,house,3,2015,10
2015-10-23,2615,13.019776788629228,house,3,2015,10
2015-10-23,2615,13.06367438105565,house,3,2015,10
2015-10-23,2913,13.070859534537213,house,3,2015,10
2015-10-23,2914,13.281075068559149,house,4,2015,10
2015-10-23,2602,13.353475098367715,house,2,2015,10
2015-10-23,2617,13.353475098367715,house,4,2015,10
2015-10-23,2906,13.372343582672098,house,4,2015,10
2015-10-23,2913,13.39239051461739,house,4,2015,10
2015-10-23,2604,13.478638241321722,house,3,2015,10
2015-10-23,2913,13.497369278027785,house,5,2015,10
2015-10-23,2911,13.527828485512494,house,4,2015,10
2015-10-23,2602,13.62918097977278,house,3,2015,10
2015-10-23,2904,13.676248490630767,house,4,2015,10
2015-10-23,2604,13.742939865129438,house,2,2015,10
2015-10-23,2605,13.87377946608825,house,4,2015,10
2015-10-24,2615,12.765688433465597,house,3,2015,10
2015-10-24,2615,12.89921982609012,house,4,2015,10
2015-10-24,2906,12.955127458028414,house,3,2015,10
2015-10-24,2617,13.138236726560619,house,3,2015,10
2015-10-24,2604,13.235692062711331,house,2,2015,10
2015-10-24,2913,13.460263166016727,house,4,2015,10
2015-10-24,2607,13.473020249017498,house,3,2015,10
2015-10-24,2606,13.515755904278224,house,3,2015,10
2015-10-24,2617,13.525158256956614,house,4,2015,10
2015-10-24,2605,13.527828485512494,house,3,2015,10
2015-10-24,2607,13.596109992928898,house,4,2015,10
2015-10-24,2602,13.607255619143816,house,3,2015,10
2015-10-24,2611,13.676248490630767,house,3,2015,10
2015-10-24,2602,13.764217263576723,house,3,2015,10
2015-10-24,2603,13.766845385982993,house,4,2015,10
2015-10-24,2602,13.972514306773938,house,5,2015,10
2015-10-24,2603,14.115615150414612,house,3,2015,10
2015-10-26,2913,13.086736199761178,house,3,2015,10
2015-10-26,2914,13.102160670086809,house,3,2015,10
2015-10-26,2905,13.102160670086809,house,3,2015,10
2015-10-26,2903,13.173341622168959,house,4,2015,10
2015-10-26,2913,13.253391639810733,house,4,2015,10
2015-10-26,2902,13.270783382522602,house,4,2015,10
2015-10-26,2615,13.321214236149494,house,4,2015,10
2015-10-26,2914,13.963930563082547,house,5,2015,10
2015-10-27,2615,12.86099861326992,house,3,2015,10
2015-10-27,2905,12.93301720567341,house,3,2015,10
2015-10-27,2906,12.9384405392434,house,3,2015,10
2015-10-27,2615,13.043320170063875,house,3,2015,10
2015-10-27,2903,13.062613372998555,house,3,2015,10
2015-10-27,2905,13.210374254727043,house,3,2015,10
2015-10-27,2605,13.345506928718539,house,3,2015,10
2015-10-27,2913,13.401130832466535,house,4,2015,10
2015-10-27,2602,13.415032991367148,house,3,2015,10
2015-10-27,2913,13.554145793829866,house,4,2015,10
2015-10-27,2911,13.658856747918897,house,4,2015,10
