,postcode,propertyType,bedrooms,datesold_year,month,price,lag1,lag2,lag3,lag6,lag12,lag24,lag36
3382,9,0,3,2008,4,13.014778166724392,13.071070083016778,13.175904144332359,13.0080742310022,13.183058042417738,13.170592275805348,13.149317884569658,13.125464951482565
3518,9,0,4,2008,4,13.005829561148378,13.415778981703872,13.185338176565716,13.407618292026779,13.398861832317339,13.384607936095602,13.361481290035485,13.336828455753206
4147,10,1,2,2008,4,12.989974189358584,12.89921982609012,12.911642346088676,13.17020070681849,13.086416974583944,13.082346437684333,13.075692966694282,13.067959219457197
4965,12,0,4,2008,4,13.05515462771088,13.39239051461739,13.005829561148378,13.09190416991962,13.19967388619622,13.189469350903481,13.167924957058393,13.150579692262612
5468,14,0,4,2008,4,13.444446876573442,13.044041410628859,13.34550692871854,13.343842493344049,13.340233609971103,13.32945557297301,13.300864571260435,13.274147164538215
6246,18,0,4,2008,4,13.422467969854669,13.526494262499355,13.304684934198283,13.31710745419684,13.278102393922223,13.270486104494317,13.251051376069034,13.227314737317021
6849,20,0,4,2008,4,13.567049198665774,13.275084464421992,13.235692062711331,13.233904752137237,13.547631112808672,13.325440566267908,13.310164171269392,13.298888981114336
6984,20,0,5,2008,4,13.428376406540831,13.235692062711331,13.610943392223,13.490504350206916,13.481908516799772,13.467816145748918,13.447384799705027,13.418264826245942
7090,21,0,3,2008,4,12.936033799212836,12.854483932248728,12.845731141139133,12.807652632564631,12.70076888736628,12.979763744040518,12.961663272519598,12.948609319155338
7513,22,0,3,2008,4,12.785491060761776,12.846609875817823,12.86617997201192,12.774223335915432,12.628067055589549,12.925453058723255,12.910904916517202,12.897717760052055
7652,22,0,4,2008,4,12.948009990259552,13.262125319779487,13.244581010128577,13.296316684527769,13.284049639660493,13.277252968185289,13.26084450089276,13.246513279325166
7783,22,0,5,2008,4,13.383187995686226,13.482837475645304,13.482774308746109,13.477966100409176,13.476219460585295,13.469411688938859,13.43913388255052,13.441168813419466
8630,25,0,5,2008,4,13.36138027787483,13.9108207377686,13.66605639862539,13.662621318634468,13.658143391949809,13.643459243984626,13.615657251353102,13.582339368538266
315,0,1,2,2008,5,12.70381302974751,13.279577675569719,13.279822646128023,13.278745061296195,13.27394572740249,13.286423428707462,13.24470689788733,13.145202157137815
787,2,0,4,2008,5,13.560618308335483,13.610943392223,13.253391639810733,13.128345449081877,13.633127711610381,13.617787052715615,13.588242095434461,13.559085672678526
914,2,0,5,2008,5,13.670484785914017,13.787387092058141,13.783848119984615,13.784509535748759,13.780510964261605,13.758964178212375,13.691856719929458,13.641166689512449
1657,4,0,2,2008,5,13.262125319779487,13.204929813450306,13.202614920989715,13.198744721126717,13.181957776811982,13.16918157425752,13.155271827066493,13.072128187551762
